Order	code	text			gsed	gsed2	p1	p2	p3
107	Ma_LF_C06	Turns head towards fallen object (2X)			by1mdd062	gtofmd006	lf1	a_d	006
108	Ma_LF_C07	Discriminates strangers			by1mdd058	gtofmd005	lf1	a_d	007
109	Ma_LF_C08	Picks up cup to get block			by1mdd088	gtofmd010	lf1	a_d	008
110	Ma_LF_C09	Finds toy under cloth (2X)			mdtfmd012	gtofmd013	lf1	a_d	009
111	Ma_LF_C10	Pulls string to get object (2X)			by1mdd080	gtofmd009	lf1	a_d	010
112	Ma_LF_C11	Lifts cup by the handle (2X)			by1mdd073	gtofmd008	lf1	a_d	011
113	Ma_LF_C12	Puts block in cup (2X)			denfmd014	gtofmd011	lf1	a_d	012
114	Ma_LF_C13	Bangs 2 objects together			denfmd013	gtofmd012	lf1	a_d	013
115	Ma_LF_C14	Pats toy to make noise (2X			by1mdd104	gtofmd014	lf1	a_d	014
116	Ma_LF_C15	Makes marks with crayon (2X)			dmcfmd009	gtofmd017	lf1	a_d	015
117	Ma_LF_C16	Puts 3 or more blocks in cup			by1mdd100	gtofmd015	lf1	a_d	016
118	Ma_LF_C17	Puts blocks in jar			mdtfmd016	gtofmd023	lf1	a_d	017
119	Ma_LF_C18	Puts 1 peg in again (2X)			by1mdd108	gtofmd021	lf1	a_d	018
120	Ma_LF_C19	Scribbles in any way (2X)			denfmd015	gtofmd020	lf1	a_d	019
121	Ma_LF_C20	Accepts third block without dropping (2X)			gricgd023	gtofmd022	lf1	a_d	020
122	Ma_LF_C21	Uses objects in play by him-/herself (2X)			by3cgd048	gtofmd027	lf1	a_d	021
123	Ma_LF_C22	Manages a cup well			dmcsld019	gtofmd018	lf1	a_d	022
124	Ma_LF_C23	Holds crayon with fingers, not fist (2X)			by1mdd098	gtofmd019	lf1	a_d	023
125	Ma_LF_C24	Repeats something when encouraged (2X)			by1mdd097	gtofmd016	lf1	a_d	024
126	Ma_LF_C25	Dumps blocks out of jar purposefully (2X)			mdtfmd017	gtofmd025	lf1	a_d	025
127	Ma_LF_C26	Builds tower of 2 blocks (2X)			ddifmd013	gtofmd024	lf1	a_d	026
128	Ma_LF_C27	Puts pegs in board < 2 minutes (2X)			mdtfmd021	gtofmd032	lf1	a_d	027
129	Ma_LF_C28	Builds tower of 3 blocks (2X)			by1mdd119	gtofmd028	lf1	a_d	028
130	Ma_LF_C29	Finds object under 2 alternating cups (3X)			by1mdd131	gtofmd026	lf1	a_d	029
131	Ma_LF_C30	Inserts 2 shapes in board (2X)			gricgd213	gtofmd033	lf1	a_d	030
132	Ma_LF_C31	Inserts 3 shapes in board in 2 minutes (2X)			by3cgd056	gtofmd035	lf1	a_d	031
133	Ma_LF_C32	Uses objects in play with someone (2X)			by3cgd053	gtofmd031	lf1	a_d	032
134	Ma_LF_C33	Scribbles on paper (circular scribble)			mdtfmd019	gtofmd030	lf1	a_d	033
135	Ma_LF_C34	Builds tower of 6 blocks (2X)			mdtfmd023	gtofmd037	lf1	a_d	034
136	Ma_LF_C35	Understands the concept of "1" (2X)			mdtfmd022	gtofmd029	lf1	a_d	035
137	Ma_LF_C36	Inserts 3 shapes in rotated board in 2 minutes (2X)			by3cgd060	gtofmd036	lf1	a_d	036
138	Ma_LF_C37	Builds truck/lorry of blocks (2X)			by3fmd044	gtofmd043	lf1	a_d	037
139	Ma_LF_C38	Unscrews and screws lid of jar (2X)			mdtfmd025	gtofmd040	lf1	a_d	038
140	Ma_LF_C39	Engages in representational play			by3cgd065	gtofmd041	lf1	a_d	039
141	Ma_LF_C40	Inserts 3 shapes in 15 seconds (2X)			sbivsd003	gtofmd039	lf1	a_d	040
142	Ma_LF_C41	Copies 2-part activity (3X)			by3cgd067	gtofmd042	lf1	a_d	041
143	Ma_LF_C42	Puts pegs in board in < 30 seconds (2X)			mdtfmd024	gtofmd038	lf1	a_d	042
144	Ma_LF_C43	Draws horizontal line (2X)			griehd301	gtofmd045	lf1	a_d	043
145	Ma_LF_C44	Understands "more" (3X-5X)			by3cgd089	gtofmd034	lf1	a_d	044
146	Ma_LF_C45	Imitates building bridge (2X)			ddifmd023	gtofmd044	lf1	a_d	045
147	Ma_LF_C46	Picks longest stick 3 of 3 (3X-5X)			mdtfmd028	gtofmd046	lf1	a_d	046
148	Ma_LF_C47	Copies a circle			ddifmd026	gtofmd049	lf1	a_d	047
149	Ma_LF_C48	Builds wall of blocks (2X)			by3fmd050	gtofmd048	lf1	a_d	048
150	Ma_LF_C49	Understands concept of size (2X)			by3cgd073	gtofmd051	lf1	a_d	049
151	Ma_LF_C50	Understands prepositions (2X)			mdtlgd031	gtofmd047	lf1	a_d	050
152	Ma_LF_C51	Copies a cross or plus sign (2X)			mdtfmd033	gtofmd050	lf1	a_d	051
153	Ma_LF_C52	Counts 3 or more objects			mdtlgd033	gtofmd054	lf1	a_d	052
154	Ma_LF_C53	Copies a square (2X)			mdtfmd034	gtofmd053	lf1	a_d	053
155	Ma_LF_C54	Draws 3 or more body parts			denfmd024	gtofmd052	lf1	a_d	054
156	Ma_SF_C001	Does your child smile?			mdtsed001	gpasec004	sf1	__c	001
157	Ma_SF_C002	When lying on his/her back, does your child move his/her arms and legs?			cromoc008	gpamoc006	sf1	__c	002
158	Ma_SF_C003	Does your child look at your face when you speak to him/her?			crosec002	gpasec015	sf1	__c	003
159	Ma_SF_C004	Does your child cry when he/she is hungry, wet, tired, or wants to be held?			gsdlac001	gpalac001	sf1	__c	004
160	Ma_SF_C005	Does your child grasp your finger if you touch her hand?			gsdfmc003	gpafmc003	sf1	__c	005
161	Ma_SF_C006	Does your child look at and focus on objects in front of him/her?			gsdcgc002	gpacgc002	sf1	__c	006
162	Ma_SF_C007	Does your child bring his/her hand to his/her mouth?			cromoc007	gpamoc011	sf1	__c	007
163	Ma_SF_C008	Does your child try to move his/her head (or eyes) to follow an object or person?			iyomoc001	gpamoc005	sf1	__c	008
164	Ma_SF_C009	Does your child smile when you smile or talk with him/her?			iyosec004	gpasec010	sf1	__c	009
165	Ma_SF_C010	Does your child look at a person when that person starts talking or making noise? 			croclc001	gpaclc007	sf1	__c	010
166	Ma_SF_C011	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?			iyosec001	gpasec016	sf1	__c	011
167	Ma_SF_C012	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?			iyolgc002	gpalgc012	sf1	__c	012
168	Ma_SF_C013	When you are about to pick up your child, does he/she act happy or excited?			iyosec002	gpasec014	sf1	__c	013
169	Ma_SF_C014	Does your child turn his/her head towards your voice or some noise?			iyolgc001	gpalgc021	sf1	__c	014
170	Ma_SF_C015	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand? 			cromoc006	gpamoc026	sf1	__c	015
171	Ma_SF_C016	Does your child make sounds other than crying?			gsdlac004	gpalac009	sf1	__c	016
172	Ma_SF_C017	Does your child sometimes suck his/her thumb or fingers? 			crosec004	gpasec020	sf1	__c	017
173	Ma_SF_C018	While your child is on his/her back, can he/she bring his/her hands together such that hands touch each other ?			iyomoc002	gpamoc017	sf1	__c	018
174	Ma_SF_C019	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?			iyosec005	gpasec025	sf1	__c	019
175	Ma_SF_C020	Does your child make noise or gesture to get your attention?			iyolgc005	gpalgc019	sf1	__c	020
176	Ma_SF_C021	If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?			iyosec003	gpasec031	sf1	__c	021
177	Ma_SF_C022	Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)? 			croclc014	gpaclc033	sf1	__c	022
178	Ma_SF_C023	Does your child laugh?			croclc006	gpaclc023	sf1	__c	023
179	Ma_SF_C024	Does your child smile or become excited when seeing someone familiar? 			crosec003	gpasec032	sf1	__c	024
180	Ma_SF_C025	When your child is on his/her stomach, can he/she turn his/her head to the side?			gsdgmc005	gpagmc013	sf1	__c	025
181	Ma_SF_C026	Does your child make sounds other than crying when LOOKING at toys or people?			iyolgc003	gpalgc022	sf1	__c	026
182	Ma_SF_C027	Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?			iyosec006	gpasec045	sf1	__c	027
183	Ma_SF_C028	Does your child hold his/her hands in fists all the time? 			cromoc001	gpamoc008	sf1	__c	028
184	Ma_SF_C029	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?			iyomoc004	gpamoc024	sf1	__c	029
185	Ma_SF_C030	When held in a sitting position, can the child hold his/her head steady and straight?			cromoc002	gpamoc037	sf1	__c	030
186	Ma_SF_C031	When your child is on his/her stomach, can he/she hold his/her head up off the ground?			gsdgmc006	gpagmc018	sf1	__c	031
187	Ma_SF_C032	Does your child show interest in new objects that are put in front of him/her by reaching out for them?			croclc004	gpaclc034	sf1	__c	032
188	Ma_SF_C033	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.			iyomoc005	gpamoc029	sf1	__c	033
189	Ma_SF_C034	Can your child roll from his/her back to stomach or stomach to his/her side? 			gsdgmc007	gpagmc030	sf1	__c	034
190	Ma_SF_C035	Can your child reach for AND HOLD an object, at least for a few seconds?			iyomoc007	gpamoc035	sf1	__c	035
191	Ma_SF_C036	Can your child eat food from your fingers or off a spoon you hold?			mdtsed006	gpasec039	sf1	__c	036
192	Ma_SF_C037	Does your child make single sounds like "buh" or "duh" or "muh"?			iyolgc004	gpalgc027	sf1	__c	037
193	Ma_SF_C038	Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?			iyomoc008	gpamoc044	sf1	__c	038
194	Ma_SF_C039	Does your child try to reach for objects that are in front of him/her by extending one or both arms?			iyomoc006	gpamoc028	sf1	__c	039
195	Ma_SF_C040	Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?			cromoc012	gpamoc040	sf1	__c	040
196	Ma_SF_C041	When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support? 			cromoc005	gpamoc042	sf1	__c	041
197	Ma_SF_C042	If an object falls to the ground out of view, does your child look for it?			iyomoc009	gpamoc041	sf1	__c	042
198	Ma_SF_C043	When lying on his/her back, does the child grab his/her feet? 			cromoc009	gpamoc043	sf1	__c	043
199	Ma_SF_C044	Can your child roll from his/her back to stomach, or stomach to back, on his/her own? 			cromoc010	gpamoc038	sf1	__c	044
200	Ma_SF_C045	Does your child play by tapping an object on the ground or a table? 			croclc007	gpaclc047	sf1	__c	045
201	Ma_SF_C046	Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)? 			croclc008	gpaclc046	sf1	__c	046
202	Ma_SF_C047	Can your child hold him/herself in a sitting position without help or support for longer than a few seconds? 			cromoc011	gpamoc049	sf1	__c	047
203	Ma_SF_C048	Does your child intentionally move or change his/her position to get objects that are out of reach? 			croclc011	gpaclc048	sf1	__c	048
204	Ma_SF_C049	Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?			iyolgc006	gpalgc051	sf1	__c	049
205	Ma_SF_C050	When you put your child on the floor, can she lean on her hands while sitting?			aqigmc012	gpagmc036	sf1	__c	050
206	Ma_SF_C051	Can your child pass a small object from one hand to the other?			iyomoc012	gpamoc052	sf1	__c	051
207	Ma_SF_C052	Can your child bang objects together, or bang an object on the table or on the ground?			iyomoc011	gpamoc050	sf1	__c	052
208	Ma_SF_C053	Can your child pick up small bits of food and feed him/her-self using his/her hand?			mdtsed012	gpasec064	sf1	__c	053
209	Ma_SF_C054	Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting? 			cromoc022	gpamoc058	sf1	__c	054
210	Ma_SF_C055	Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)? 			cromoc015	gpamoc054	sf1	__c	055
211	Ma_SF_C056	Can your child pick up a small object (e.g., a piece of food, small toy or small stone) with just his/her thumb and one finger? 			cromoc019	gpamoc053	sf1	__c	056
212	Ma_SF_C057	Can your child pull themselves up from the floor while holding onto something? For example, can they pull themselves up using a chair, a person, or some other object?			iyomoc016	gpamoc056	sf1	__c	057
213	Ma_SF_C058	Does your child stop what he/she is doing when you say "Stop!" even if just for a second?			crosec014	gpalgc059	sf1	__c	058
214	Ma_SF_C059	Can your child walk several steps while holding on to a person or object (e.g., wall or furniture)? 			cromoc018	gpamoc060	sf1	__c	059
215	Ma_SF_C060	While holding onto furniture, can your child bend down and pick up a small object from the floor and then return to a standing position?			aqigmc021	gpagmc055	sf1	__c	060
216	Ma_SF_C061	While holding onto furniture, does your child squat with control (without falling or flopping down)?			aqigmc020	gpagmc057	sf1	__c	061
217	Ma_SF_C062	Does your child make a gesture to indicate "No" (e.g., shaking head)?			mdtlgd009	gpalgc068	sf1	__c	062
218	Ma_SF_C063	Even if your child is unable to do singing games, does he/she enjoy them and want to be a part of them?			mdtsed016	gpasec082	sf1	__c	063
219	Ma_SF_C064	Can your child stand up without holding onto anything, even if just for a few seconds?			iyomoc020	gpamoc061	sf1	__c	064
220	Ma_SF_C065	Does your child put his/her hands out to have them washed?			mdtsed013	gpasec075	sf1	__c	065
221	Ma_SF_C066	Can your child maintain a standing position on his/her own, without holding on or receiving support? 			cromoc017	gpamoc062	sf1	__c	066
222	Ma_SF_C067	Can your child drink from an open cup without help?			vinxxc007	gpaxxc074	sf1	__c	067
223	Ma_SF_C068	Can your child climb onto an object (rock, porch, step, chair, bed, low table, etc.)?			iyomoc022	gpamoc065	sf1	__c	068
224	Ma_SF_C069	Can your child make any light marks on paper or in dirt with a crayon or a stick?			iyomoc021	gpamoc063	sf1	__c	069
225	Ma_SF_C070	Can your child bend down or squat to pick up an object from the floor and then stand up again, without help from a person or object?			iyomoc023	gpamoc070	sf1	__c	070
226	Ma_SF_C071	Can your child follow a simple spoken command or direction without you making a gesture? 			iyolgc013	gpalgc072	sf1	__c	071
227	Ma_SF_C072	Can your child fetch something when asked?			vinxxc006	gpaxxc073	sf1	__c	072
228	Ma_SF_C073	Does your child share with others (e.g., food)?			mdtsed018	gpasec086	sf1	__c	073
229	Ma_SF_C074	Can your child take several steps (3-5) forward without holding onto any person or object, even if they fall down immediately afterward? 			iyomoc024	gpamoc066	sf1	__c	074
230	Ma_SF_C075	While standing, can your child purposefully throw the ball and not just drop it?			iyomoc028	gpamoc076	sf1	__c	075
231	Ma_SF_C076	Can your child stand up from sitting by himself and take several steps forward?			aqigmc026	gpagmc069	sf1	__c	076
232	Ma_SF_C077	Can your child break off a piece of food and feed it to him/her-self?			mdtsed021	gpasec094	sf1	__c	077
233	Ma_SF_C078	Can your child make a scribble on paper, or in dirt, in a back and forth manner? For example, can he or she move the pen or pencil or stick back and forth? 			iyomoc025	gpamoc071	sf1	__c	078
234	Ma_SF_C079	Can your child move around by walking, rather than by crawling on his hands and knees?			aqigmc027	gpagmc067	sf1	__c	079
235	Ma_SF_C080	Can your child walk well, with coordination, without falling down often? With one foot in front of the other (rather than shifting weight side to side, stiff- legged)?			iyomoc027	gpamoc077	sf1	__c	080
236	Ma_SF_C081	Can your child stack at least two objects on top of each other, such as bottle tops, blocks, stones, etc.?			iyomoc030	gpamoc078	sf1	__c	081
237	Ma_SF_C082	Can your child greet people either by giving his/her hand or saying "hello"? (use local examples of greeting)			mdtsed017	gpasec085	sf1	__c	082
238	Ma_SF_C083	Can your child kick a ball or other round object forward using his/her foot? 			cromoc025	gpamoc079	sf1	__c	083
239	Ma_SF_C084	"Can your child say five or more separate words (e.g., names like ""Mama"" or objects like ""ball"")?"			mdtsed019	gpasec089	sf1	__c	084
240	Ma_SF_C085	Can your child follow directions with more than one step? For example, 'Go to the kitchen and bring me a spoon'?			iyolgc017	gpalgc081	sf1	__c	085
241	Ma_SF_C086	Can your child correctly name at least one family member other than mom and dad (e.g., name of brother, sister, aunt, uncle)? 			croclc028	gpaclc096	sf1	__c	086
242	Ma_SF_C087	Can your child identify at least seven objects? For example, when you ask 'where is the ball/spoon/cup/cloth/door/plate/bucket etc.' does your child look at or point to (or even name) the objects?			iyolgc022	gpalgc099	sf1	__c	087
243	Ma_SF_C088	Can your child ask for something (e.g., food, water) by name when he/she wants it?			croclc025	gpaclc093	sf1	__c	088
244	Ma_SF_C089	Can your child run well, without falling or bumping into objects?			iyomoc032	gpamoc084	sf1	__c	089
245	Ma_SF_C090	Can your child wash hands by him/herself?			vinxxc048	gpaxxc092	sf1	__c	090
246	Ma_SF_C091	While standing, can your child kick a ball by swinging his/her leg forward?			iyomoc031	gpamoc080	sf1	__c	091
247	Ma_SF_C092	Does your child dry hands by herself/himself after you have washed them?			vinxxc021	gpaxxc087	sf1	__c	092
248	Ma_SF_C093	Does your child show independence (e.g., wants to go and visit a friend's house)?			mdtsed023	gpasec095	sf1	__c	093
249	Ma_SF_C094	If you show your child an object he/she knows well (e.g., a cup or animal), can he/she consistently name it? 			croclc034	gpaclc101	sf1	__c	094
250	Ma_SF_C095	Can your child stack three or more small objects (e.g., blocks, cups, bottle caps) on top of each other? 			cromoc029	gpamoc083	sf1	__c	095
251	Ma_SF_C096	Can your child walk on an uneven surface (e.g., a bumpy or steep road) without falling? 			cromoc031	gpamoc097	sf1	__c	096
